model,bin,type,lmin,,,,,,
sky130_fd_pr__nfet_01v8__model.52,nmos,1.49e-07,1.51e-07,3.59e-07,3.61e-7
sky130_fd_pr__nfet_01v8__model.53,nmos,1.49e-07,1.51e-07,3.89e-07,3.91e-7
sky130_fd_pr__nfet_01v8__model.54,nmos,1.49e-07,1.51e-07,5.19e-07,5.21e-7
sky130_fd_pr__nfet_01v8__model.55,nmos,1.49e-07,1.51e-07,5.39e-07,5.41e-7
sky130_fd_pr__nfet_01v8__model.56,nmos,1.49e-07,1.51e-07,5.79e-07,5.81e-7
sky130_fd_pr__nfet_01v8__model.57,nmos,1.49e-07,1.51e-07,5.99e-07,6.01e-7
sky130_fd_pr__nfet_01v8__model.58,nmos,1.49e-07,1.51e-07,6.09e-07,6.11e-7
sky130_fd_pr__nfet_01v8__model.59,nmos,1.49e-07,1.51e-07,6.49e-07,6.51e-7
sky130_fd_pr__nfet_01v8__model.60,nmos,1.79e-07,1.81e-07,6.49e-07,6.51e-7
sky130_fd_pr__nfet_01v8__model.61,nmos,2.49e-07,2.51e-07,6.49e-07,6.51e-7
sky130_fd_pr__nfet_01v8__model.62,nmos,4.99e-07,5.01e-07,6.49e-07,6.51e-7

