modelbin,type,lmin,lmax,wmin,wmax
sky130_fd_pr__pfet_01v8_hvt__model.163,pmos,8.0e-06,2.0e-05,5.5e-07,6.3e-7
sky130_fd_pr__pfet_01v8_hvt__model.164,pmos,4.0e-06,8.0e-06,5.5e-07,6.3e-7
sky130_fd_pr__pfet_01v8_hvt__model.165,pmos,2.0e-06,4.0e-06,5.5e-07,6.3e-7
sky130_fd_pr__pfet_01v8_hvt__model.166,pmos,1.0e-06,2.0e-06,5.5e-07,6.3e-7
sky130_fd_pr__pfet_01v8_hvt__model.167,pmos,5.0e-07,1.0e-06,5.5e-07,6.3e-7
sky130_fd_pr__pfet_01v8_hvt__model.168,pmos,2.5e-07,5.0e-07,5.5e-07,6.3e-7
sky130_fd_pr__pfet_01v8_hvt__model.169,pmos,1.8e-07,2.5e-07,5.5e-07,6.3e-7
sky130_fd_pr__pfet_01v8_hvt__model.170,pmos,1.5e-07,1.8e-07,5.5e-07,6.3e-7
sky130_fd_pr__pfet_01v8_hvt__model.171,pmos,2.0e-05,0.0001,5.4e-07,5.5e-7
sky130_fd_pr__pfet_01v8_hvt__model.172,pmos,8.0e-06,2.0e-05,5.4e-07,5.5e-7
sky130_fd_pr__pfet_01v8_hvt__model.173,pmos,4.0e-06,8.0e-06,5.4e-07,5.5e-7
sky130_fd_pr__pfet_01v8_hvt__model.174,pmos,2.0e-06,4.0e-06,5.4e-07,5.5e-7
sky130_fd_pr__pfet_01v8_hvt__model.175,pmos,1.0e-06,2.0e-06,5.4e-07,5.5e-7
sky130_fd_pr__pfet_01v8_hvt__model.176,pmos,5.0e-07,1.0e-06,5.4e-07,5.5e-7
sky130_fd_pr__pfet_01v8_hvt__model.177,pmos,2.5e-07,5.0e-07,5.4e-07,5.5e-7
sky130_fd_pr__pfet_01v8_hvt__model.178,pmos,1.8e-07,2.5e-07,5.4e-07,5.5e-7
sky130_fd_pr__pfet_01v8_hvt__model.179,pmos,1.5e-07,1.8e-07,5.4e-07,5.5e-7
sky130_fd_pr__pfet_01v8_hvt__model.180,pmos,2.0e-05,0.0001,4.2e-07,5.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.181,pmos,8.0e-06,2.0e-05,4.2e-07,5.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.182,pmos,4.0e-06,8.0e-06,4.2e-07,5.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.183,pmos,2.0e-06,4.0e-06,4.2e-07,5.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.184,pmos,1.0e-06,2.0e-06,4.2e-07,5.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.185,pmos,5.0e-07,1.0e-06,4.2e-07,5.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.186,pmos,2.5e-07,5.0e-07,4.2e-07,5.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.187,pmos,1.8e-07,2.5e-07,4.2e-07,5.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.188,pmos,1.5e-07,1.8e-07,4.2e-07,5.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.189,pmos,2.0e-05,0.0001,3.6e-07,4.2e-7
sky130_fd_pr__pfet_01v8_hvt__model.190,pmos,8.0e-06,2.0e-05,3.6e-07,4.2e-7
sky130_fd_pr__pfet_01v8_hvt__model.191,pmos,4.0e-06,8.0e-06,3.6e-07,4.2e-7
sky130_fd_pr__pfet_01v8_hvt__model.192,pmos,2.0e-06,4.0e-06,3.6e-07,4.2e-7
sky130_fd_pr__pfet_01v8_hvt__model.193,pmos,1.0e-06,2.0e-06,3.6e-07,4.2e-7
sky130_fd_pr__pfet_01v8_hvt__model.194,pmos,5.0e-07,1.0e-06,3.6e-07,4.2e-7
sky130_fd_pr__pfet_01v8_hvt__model.195,pmos,2.5e-07,5.0e-07,3.6e-07,4.2e-7
sky130_fd_pr__pfet_01v8_hvt__model.196,pmos,1.8e-07,2.5e-07,3.6e-07,4.2e-7
sky130_fd_pr__pfet_01v8_hvt__model.197,pmos,1.5e-07,1.8e-07,3.6e-07,4.2e-7
sky130_fd_pr__pfet_01v8_hvt__model.0,pmos,1.45e-07,1.55e-07,1.255e-06,1.265e-6
sky130_fd_pr__pfet_01v8_hvt__model.1,pmos,1.45e-07,1.55e-07,1.675e-06,1.685e-6
sky130_fd_pr__pfet_01v8_hvt__model.2,pmos,9.95e-07,1.005e-06,9.95e-07,1.005e-6
sky130_fd_pr__pfet_01v8_hvt__model.3,pmos,1.995e-06,2.005e-06,9.95e-07,1.005e-6
sky130_fd_pr__pfet_01v8_hvt__model.4,pmos,3.995e-06,4.005e-06,9.95e-07,1.005e-6
sky130_fd_pr__pfet_01v8_hvt__model.5,pmos,7.995e-06,8.005e-06,9.95e-07,1.005e-6
sky130_fd_pr__pfet_01v8_hvt__model.6,pmos,1.45e-07,1.55e-07,9.95e-07,1.005e-6
sky130_fd_pr__pfet_01v8_hvt__model.7,pmos,1.75e-07,1.85e-07,9.95e-07,1.005e-6
sky130_fd_pr__pfet_01v8_hvt__model.8,pmos,2.45e-07,2.55e-07,9.95e-07,1.005e-6
sky130_fd_pr__pfet_01v8_hvt__model.9,pmos,4.95e-07,5.05e-07,9.95e-07,1.005e-6
sky130_fd_pr__pfet_01v8_hvt__model.10,pmos,9.95e-07,1.005e-06,2.995e-06,3.005e-6
sky130_fd_pr__pfet_01v8_hvt__model.11,pmos,1.995e-06,2.005e-06,2.995e-06,3.005e-6
sky130_fd_pr__pfet_01v8_hvt__model.12,pmos,3.995e-06,4.005e-06,2.995e-06,3.005e-6
sky130_fd_pr__pfet_01v8_hvt__model.13,pmos,7.995e-06,8.005e-06,2.995e-06,3.005e-6
sky130_fd_pr__pfet_01v8_hvt__model.14,pmos,1.45e-07,1.55e-07,2.995e-06,3.005e-6
sky130_fd_pr__pfet_01v8_hvt__model.15,pmos,1.75e-07,1.85e-07,2.995e-06,3.005e-6
sky130_fd_pr__pfet_01v8_hvt__model.16,pmos,2.45e-07,2.55e-07,2.995e-06,3.005e-6
sky130_fd_pr__pfet_01v8_hvt__model.17,pmos,4.95e-07,5.05e-07,2.995e-06,3.005e-6
sky130_fd_pr__pfet_01v8_hvt__model.18,pmos,9.95e-07,1.005e-06,4.995e-06,5.005e-6
sky130_fd_pr__pfet_01v8_hvt__model.19,pmos,1.995e-06,2.005e-06,4.995e-06,5.005e-6
sky130_fd_pr__pfet_01v8_hvt__model.20,pmos,3.995e-06,4.005e-06,4.995e-06,5.005e-6
sky130_fd_pr__pfet_01v8_hvt__model.21,pmos,7.995e-06,8.005e-06,4.995e-06,5.005e-6
sky130_fd_pr__pfet_01v8_hvt__model.22,pmos,1.45e-07,1.55e-07,4.995e-06,5.005e-6
sky130_fd_pr__pfet_01v8_hvt__model.23,pmos,1.75e-07,1.85e-07,4.995e-06,5.005e-6
sky130_fd_pr__pfet_01v8_hvt__model.24,pmos,2.45e-07,2.55e-07,4.995e-06,5.005e-6
sky130_fd_pr__pfet_01v8_hvt__model.25,pmos,4.95e-07,5.05e-07,4.995e-06,5.005e-6
sky130_fd_pr__pfet_01v8_hvt__model.26,pmos,9.95e-07,1.005e-06,6.995e-06,7.005e-6
sky130_fd_pr__pfet_01v8_hvt__model.27,pmos,1.995e-06,2.005e-06,6.995e-06,7.005e-6
sky130_fd_pr__pfet_01v8_hvt__model.28,pmos,3.995e-06,4.005e-06,6.995e-06,7.005e-6
sky130_fd_pr__pfet_01v8_hvt__model.29,pmos,7.995e-06,8.005e-06,6.995e-06,7.005e-6
sky130_fd_pr__pfet_01v8_hvt__model.30,pmos,1.45e-07,1.55e-07,6.995e-06,7.005e-6
sky130_fd_pr__pfet_01v8_hvt__model.31,pmos,1.75e-07,1.85e-07,6.995e-06,7.005e-6
sky130_fd_pr__pfet_01v8_hvt__model.32,pmos,2.45e-07,2.55e-07,6.995e-06,7.005e-6
sky130_fd_pr__pfet_01v8_hvt__model.33,pmos,4.95e-07,5.05e-07,6.995e-06,7.005e-6
sky130_fd_pr__pfet_01v8_hvt__model.34,pmos,9.95e-07,1.005e-06,4.15e-07,4.25e-7
sky130_fd_pr__pfet_01v8_hvt__model.35,pmos,1.9995e-05,2.0005e-05,4.15e-07,4.25e-7
sky130_fd_pr__pfet_01v8_hvt__model.36,pmos,1.995e-06,2.005e-06,4.15e-07,4.25e-7
sky130_fd_pr__pfet_01v8_hvt__model.37,pmos,3.995e-06,4.005e-06,4.15e-07,4.25e-7
sky130_fd_pr__pfet_01v8_hvt__model.38,pmos,7.995e-06,8.005e-06,4.15e-07,4.25e-7
sky130_fd_pr__pfet_01v8_hvt__model.39,pmos,1.45e-07,1.55e-07,4.15e-07,4.25e-7
sky130_fd_pr__pfet_01v8_hvt__model.40,pmos,1.75e-07,1.85e-07,4.15e-07,4.25e-7
sky130_fd_pr__pfet_01v8_hvt__model.41,pmos,4.95e-07,5.05e-07,4.15e-07,4.25e-7
sky130_fd_pr__pfet_01v8_hvt__model.42,pmos,9.95e-07,1.005e-06,5.45e-07,5.55e-7
sky130_fd_pr__pfet_01v8_hvt__model.43,pmos,1.995e-06,2.005e-06,5.45e-07,5.55e-7
sky130_fd_pr__pfet_01v8_hvt__model.44,pmos,3.995e-06,4.005e-06,5.45e-07,5.55e-7
sky130_fd_pr__pfet_01v8_hvt__model.45,pmos,7.995e-06,8.005e-06,5.45e-07,5.55e-7
sky130_fd_pr__pfet_01v8_hvt__model.46,pmos,1.45e-07,1.55e-07,5.45e-07,5.55e-7
sky130_fd_pr__pfet_01v8_hvt__model.47,pmos,4.95e-07,5.05e-07,5.45e-07,5.55e-7
sky130_fd_pr__pfet_01v8_hvt__model.48,pmos,1.45e-07,1.55e-07,6.35e-07,6.45e-7
sky130_fd_pr__pfet_01v8_hvt__model.49,pmos,1.45e-07,1.55e-07,8.35e-07,8.45e-7
sky130_fd_pr__pfet_01v8_hvt__model.50,pmos,1.79e-07,1.81e-07,6.39e-07,6.41e-7
sky130_fd_pr__pfet_01v8_hvt__model.51,pmos,1.49e-07,1.51e-07,1.999e-06,2.001e-6
sky130_fd_pr__pfet_01v8_hvt__model.52,pmos,1.49e-07,1.51e-07,1.119e-06,1.121e-6
sky130_fd_pr__pfet_01v8_hvt__model.53,pmos,1.49e-07,1.51e-07,1.649e-06,1.651e-6
sky130_fd_pr__pfet_01v8_hvt__model.54,pmos,1.79e-07,1.81e-07,8.39e-07,8.41e-7
sky130_fd_pr__pfet_01v8_hvt__model.55,pmos,1.79e-07,1.81e-07,1.679e-06,1.681e-6
sky130_fd_pr__pfet_01v8_hvt__model.56,pmos,1.49e-07,1.51e-07,3.59e-07,3.61e-7
sky130_fd_pr__pfet_01v8_hvt__model.57,pmos,1.49e-07,1.51e-07,5.39e-07,5.41e-7
sky130_fd_pr__pfet_01v8_hvt__model.58,pmos,1.49e-07,1.51e-07,6.29e-07,6.31e-7
sky130_fd_pr__pfet_01v8_hvt__model.59,pmos,1.49e-07,1.51e-07,6.99e-07,7.01e-7
sky130_fd_pr__pfet_01v8_hvt__model.60,pmos,1.49e-07,1.51e-07,7.49e-07,7.51e-7
sky130_fd_pr__pfet_01v8_hvt__model.61,pmos,1.49e-07,1.51e-07,7.89e-07,7.91e-7
sky130_fd_pr__pfet_01v8_hvt__model.62,pmos,1.49e-07,1.51e-07,8.19e-07,8.21e-7
sky130_fd_pr__pfet_01v8_hvt__model.63,pmos,1.79e-07,1.81e-07,8.19e-07,8.21e-7
sky130_fd_pr__pfet_01v8_hvt__model.64,pmos,2.49e-07,2.51e-07,8.19e-07,8.21e-7
sky130_fd_pr__pfet_01v8_hvt__model.65,pmos,4.99e-07,5.01e-07,8.19e-07,8.21e-7
sky130_fd_pr__pfet_01v8_hvt__model.66,pmos,1.49e-07,1.51e-07,8.59e-07,8.61e-7
sky130_fd_pr__pfet_01v8_hvt__model.67,pmos,1.49e-07,1.51e-07,9.39e-07,9.41e-7
sky130_fd_pr__pfet_01v8_hvt__model.0,pmos,2.0e-05,0.0001,7.0e-06,0.0001
sky130_fd_pr__pfet_01v8_hvt__model.1,pmos,8.0e-06,2.0e-05,7.0e-06,0.0001
sky130_fd_pr__pfet_01v8_hvt__model.2,pmos,4.0e-06,8.0e-06,7.0e-06,0.0001
sky130_fd_pr__pfet_01v8_hvt__model.3,pmos,2.0e-06,4.0e-06,7.0e-06,0.0001
sky130_fd_pr__pfet_01v8_hvt__model.4,pmos,1.0e-06,2.0e-06,7.0e-06,0.0001
sky130_fd_pr__pfet_01v8_hvt__model.5,pmos,5.0e-07,1.0e-06,7.0e-06,0.0001
sky130_fd_pr__pfet_01v8_hvt__model.6,pmos,2.5e-07,5.0e-07,7.0e-06,0.0001
sky130_fd_pr__pfet_01v8_hvt__model.7,pmos,1.8e-07,2.5e-07,7.0e-06,0.0001
sky130_fd_pr__pfet_01v8_hvt__model.8,pmos,1.5e-07,1.8e-07,7.0e-06,0.0001
sky130_fd_pr__pfet_01v8_hvt__model.9,pmos,2.0e-05,0.0001,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.10,pmos,8.0e-06,2.0e-05,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.11,pmos,4.0e-06,8.0e-06,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.12,pmos,2.0e-06,4.0e-06,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.13,pmos,1.0e-06,2.0e-06,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.14,pmos,5.0e-07,1.0e-06,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.15,pmos,2.5e-07,5.0e-07,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.16,pmos,1.8e-07,2.5e-07,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.17,pmos,1.5e-07,1.8e-07,5.0e-06,7.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.18,pmos,2.0e-05,0.0001,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.19,pmos,8.0e-06,2.0e-05,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.20,pmos,4.0e-06,8.0e-06,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.21,pmos,2.0e-06,4.0e-06,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.22,pmos,1.0e-06,2.0e-06,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.23,pmos,5.0e-07,1.0e-06,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.24,pmos,2.5e-07,5.0e-07,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.25,pmos,1.8e-07,2.5e-07,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.26,pmos,1.5e-07,1.8e-07,3.0e-06,5.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.27,pmos,2.0e-05,0.0001,2.0e-06,3.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.28,pmos,8.0e-06,2.0e-05,2.0e-06,3.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.29,pmos,4.0e-06,8.0e-06,2.0e-06,3.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.30,pmos,2.0e-06,4.0e-06,2.0e-06,3.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.31,pmos,1.0e-06,2.0e-06,2.0e-06,3.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.32,pmos,5.0e-07,1.0e-06,2.0e-06,3.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.33,pmos,2.5e-07,5.0e-07,2.0e-06,3.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.34,pmos,1.8e-07,2.5e-07,2.0e-06,3.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.35,pmos,1.5e-07,1.8e-07,2.0e-06,3.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.36,pmos,2.0e-05,0.0001,1.68e-06,2.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.37,pmos,8.0e-06,2.0e-05,1.68e-06,2.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.38,pmos,4.0e-06,8.0e-06,1.68e-06,2.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.39,pmos,2.0e-06,4.0e-06,1.68e-06,2.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.40,pmos,1.0e-06,2.0e-06,1.68e-06,2.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.41,pmos,5.0e-07,1.0e-06,1.68e-06,2.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.42,pmos,2.5e-07,5.0e-07,1.68e-06,2.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.43,pmos,1.8e-07,2.5e-07,1.68e-06,2.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.44,pmos,1.5e-07,1.8e-07,1.68e-06,2.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.45,pmos,2.0e-05,0.0001,1.65e-06,1.68e-6
sky130_fd_pr__pfet_01v8_hvt__model.46,pmos,8.0e-06,2.0e-05,1.65e-06,1.68e-6
sky130_fd_pr__pfet_01v8_hvt__model.47,pmos,4.0e-06,8.0e-06,1.65e-06,1.68e-6
sky130_fd_pr__pfet_01v8_hvt__model.48,pmos,2.0e-06,4.0e-06,1.65e-06,1.68e-6
sky130_fd_pr__pfet_01v8_hvt__model.49,pmos,1.0e-06,2.0e-06,1.65e-06,1.68e-6
sky130_fd_pr__pfet_01v8_hvt__model.50,pmos,5.0e-07,1.0e-06,1.65e-06,1.68e-6
sky130_fd_pr__pfet_01v8_hvt__model.51,pmos,2.5e-07,5.0e-07,1.65e-06,1.68e-6
sky130_fd_pr__pfet_01v8_hvt__model.52,pmos,1.8e-07,2.5e-07,1.65e-06,1.68e-6
sky130_fd_pr__pfet_01v8_hvt__model.53,pmos,1.5e-07,1.8e-07,1.65e-06,1.68e-6
sky130_fd_pr__pfet_01v8_hvt__model.54,pmos,2.0e-05,0.0001,1.26e-06,1.65e-6
sky130_fd_pr__pfet_01v8_hvt__model.55,pmos,8.0e-06,2.0e-05,1.26e-06,1.65e-6
sky130_fd_pr__pfet_01v8_hvt__model.56,pmos,4.0e-06,8.0e-06,1.26e-06,1.65e-6
sky130_fd_pr__pfet_01v8_hvt__model.57,pmos,2.0e-06,4.0e-06,1.26e-06,1.65e-6
sky130_fd_pr__pfet_01v8_hvt__model.58,pmos,1.0e-06,2.0e-06,1.26e-06,1.65e-6
sky130_fd_pr__pfet_01v8_hvt__model.59,pmos,5.0e-07,1.0e-06,1.26e-06,1.65e-6
sky130_fd_pr__pfet_01v8_hvt__model.60,pmos,2.5e-07,5.0e-07,1.26e-06,1.65e-6
sky130_fd_pr__pfet_01v8_hvt__model.61,pmos,1.8e-07,2.5e-07,1.26e-06,1.65e-6
sky130_fd_pr__pfet_01v8_hvt__model.62,pmos,1.5e-07,1.8e-07,1.26e-06,1.65e-6
sky130_fd_pr__pfet_01v8_hvt__model.63,pmos,2.0e-05,0.0001,1.12e-06,1.26e-6
sky130_fd_pr__pfet_01v8_hvt__model.64,pmos,8.0e-06,2.0e-05,1.12e-06,1.26e-6
sky130_fd_pr__pfet_01v8_hvt__model.65,pmos,4.0e-06,8.0e-06,1.12e-06,1.26e-6
sky130_fd_pr__pfet_01v8_hvt__model.66,pmos,2.0e-06,4.0e-06,1.12e-06,1.26e-6
sky130_fd_pr__pfet_01v8_hvt__model.67,pmos,1.0e-06,2.0e-06,1.12e-06,1.26e-6
sky130_fd_pr__pfet_01v8_hvt__model.68,pmos,5.0e-07,1.0e-06,1.12e-06,1.26e-6
sky130_fd_pr__pfet_01v8_hvt__model.69,pmos,2.5e-07,5.0e-07,1.12e-06,1.26e-6
sky130_fd_pr__pfet_01v8_hvt__model.70,pmos,1.8e-07,2.5e-07,1.12e-06,1.26e-6
sky130_fd_pr__pfet_01v8_hvt__model.71,pmos,1.5e-07,1.8e-07,1.12e-06,1.26e-6
sky130_fd_pr__pfet_01v8_hvt__model.72,pmos,2.0e-05,0.0001,1.0e-06,1.12e-6
sky130_fd_pr__pfet_01v8_hvt__model.73,pmos,8.0e-06,2.0e-05,1.0e-06,1.12e-6
sky130_fd_pr__pfet_01v8_hvt__model.74,pmos,4.0e-06,8.0e-06,1.0e-06,1.12e-6
sky130_fd_pr__pfet_01v8_hvt__model.75,pmos,2.0e-06,4.0e-06,1.0e-06,1.12e-6
sky130_fd_pr__pfet_01v8_hvt__model.76,pmos,1.0e-06,2.0e-06,1.0e-06,1.12e-6
sky130_fd_pr__pfet_01v8_hvt__model.77,pmos,5.0e-07,1.0e-06,1.0e-06,1.12e-6
sky130_fd_pr__pfet_01v8_hvt__model.78,pmos,2.5e-07,5.0e-07,1.0e-06,1.12e-6
sky130_fd_pr__pfet_01v8_hvt__model.79,pmos,1.8e-07,2.5e-07,1.0e-06,1.12e-6
sky130_fd_pr__pfet_01v8_hvt__model.80,pmos,1.5e-07,1.8e-07,1.0e-06,1.12e-6
sky130_fd_pr__pfet_01v8_hvt__model.81,pmos,2.0e-05,0.0001,9.4e-07,1.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.82,pmos,8.0e-06,2.0e-05,9.4e-07,1.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.83,pmos,4.0e-06,8.0e-06,9.4e-07,1.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.84,pmos,2.0e-06,4.0e-06,9.4e-07,1.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.85,pmos,1.0e-06,2.0e-06,9.4e-07,1.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.86,pmos,5.0e-07,1.0e-06,9.4e-07,1.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.87,pmos,2.5e-07,5.0e-07,9.4e-07,1.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.88,pmos,1.8e-07,2.5e-07,9.4e-07,1.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.89,pmos,1.5e-07,1.8e-07,9.4e-07,1.0e-6
sky130_fd_pr__pfet_01v8_hvt__model.90,pmos,2.0e-05,0.0001,8.6e-07,9.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.91,pmos,8.0e-06,2.0e-05,8.6e-07,9.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.92,pmos,4.0e-06,8.0e-06,8.6e-07,9.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.93,pmos,2.0e-06,4.0e-06,8.6e-07,9.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.94,pmos,1.0e-06,2.0e-06,8.6e-07,9.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.95,pmos,5.0e-07,1.0e-06,8.6e-07,9.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.96,pmos,2.5e-07,5.0e-07,8.6e-07,9.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.97,pmos,1.8e-07,2.5e-07,8.6e-07,9.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.98,pmos,1.5e-07,1.8e-07,8.6e-07,9.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.99,pmos,2.0e-05,0.0001,8.4e-07,8.6e-7
sky130_fd_pr__pfet_01v8_hvt__model.100,pmos,8.0e-06,2.0e-05,8.4e-07,8.6e-7
sky130_fd_pr__pfet_01v8_hvt__model.101,pmos,4.0e-06,8.0e-06,8.4e-07,8.6e-7
sky130_fd_pr__pfet_01v8_hvt__model.102,pmos,2.0e-06,4.0e-06,8.4e-07,8.6e-7
sky130_fd_pr__pfet_01v8_hvt__model.103,pmos,1.0e-06,2.0e-06,8.4e-07,8.6e-7
sky130_fd_pr__pfet_01v8_hvt__model.104,pmos,5.0e-07,1.0e-06,8.4e-07,8.6e-7
sky130_fd_pr__pfet_01v8_hvt__model.105,pmos,2.5e-07,5.0e-07,8.4e-07,8.6e-7
sky130_fd_pr__pfet_01v8_hvt__model.106,pmos,1.8e-07,2.5e-07,8.4e-07,8.6e-7
sky130_fd_pr__pfet_01v8_hvt__model.107,pmos,1.5e-07,1.8e-07,8.4e-07,8.6e-7
sky130_fd_pr__pfet_01v8_hvt__model.108,pmos,2.0e-05,0.0001,8.2e-07,8.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.109,pmos,8.0e-06,2.0e-05,8.2e-07,8.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.110,pmos,4.0e-06,8.0e-06,8.2e-07,8.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.111,pmos,2.0e-06,4.0e-06,8.2e-07,8.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.112,pmos,1.0e-06,2.0e-06,8.2e-07,8.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.113,pmos,5.0e-07,1.0e-06,8.2e-07,8.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.114,pmos,2.5e-07,5.0e-07,8.2e-07,8.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.115,pmos,1.8e-07,2.5e-07,8.2e-07,8.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.116,pmos,1.5e-07,1.8e-07,8.2e-07,8.4e-7
sky130_fd_pr__pfet_01v8_hvt__model.117,pmos,2.0e-05,0.0001,7.9e-07,8.2e-7
sky130_fd_pr__pfet_01v8_hvt__model.118,pmos,8.0e-06,2.0e-05,7.9e-07,8.2e-7
sky130_fd_pr__pfet_01v8_hvt__model.119,pmos,4.0e-06,8.0e-06,7.9e-07,8.2e-7
sky130_fd_pr__pfet_01v8_hvt__model.120,pmos,2.0e-06,4.0e-06,7.9e-07,8.2e-7
sky130_fd_pr__pfet_01v8_hvt__model.121,pmos,1.0e-06,2.0e-06,7.9e-07,8.2e-7
sky130_fd_pr__pfet_01v8_hvt__model.122,pmos,5.0e-07,1.0e-06,7.9e-07,8.2e-7
sky130_fd_pr__pfet_01v8_hvt__model.123,pmos,2.5e-07,5.0e-07,7.9e-07,8.2e-7
sky130_fd_pr__pfet_01v8_hvt__model.124,pmos,1.8e-07,2.5e-07,7.9e-07,8.2e-7
sky130_fd_pr__pfet_01v8_hvt__model.125,pmos,1.5e-07,1.8e-07,7.9e-07,8.2e-7
sky130_fd_pr__pfet_01v8_hvt__model.126,pmos,2.0e-05,0.0001,7.5e-07,7.9e-7
sky130_fd_pr__pfet_01v8_hvt__model.127,pmos,8.0e-06,2.0e-05,7.5e-07,7.9e-7
sky130_fd_pr__pfet_01v8_hvt__model.128,pmos,4.0e-06,8.0e-06,7.5e-07,7.9e-7
sky130_fd_pr__pfet_01v8_hvt__model.129,pmos,2.0e-06,4.0e-06,7.5e-07,7.9e-7
sky130_fd_pr__pfet_01v8_hvt__model.130,pmos,1.0e-06,2.0e-06,7.5e-07,7.9e-7
sky130_fd_pr__pfet_01v8_hvt__model.131,pmos,5.0e-07,1.0e-06,7.5e-07,7.9e-7
sky130_fd_pr__pfet_01v8_hvt__model.132,pmos,2.5e-07,5.0e-07,7.5e-07,7.9e-7
sky130_fd_pr__pfet_01v8_hvt__model.133,pmos,1.8e-07,2.5e-07,7.5e-07,7.9e-7
sky130_fd_pr__pfet_01v8_hvt__model.134,pmos,1.5e-07,1.8e-07,7.5e-07,7.9e-7
sky130_fd_pr__pfet_01v8_hvt__model.135,pmos,2.0e-05,0.0001,7.0e-07,7.5e-7
sky130_fd_pr__pfet_01v8_hvt__model.136,pmos,8.0e-06,2.0e-05,7.0e-07,7.5e-7
sky130_fd_pr__pfet_01v8_hvt__model.137,pmos,4.0e-06,8.0e-06,7.0e-07,7.5e-7
