modelbin,type,lmin,lmax,wmin,wmax
sky130_fd_pr__nfet_01v8__model.30,nmos,2.0e-06,4.0e-06,2.0e-06,3.0e-6
sky130_fd_pr__nfet_01v8__model.31,nmos,1.0e-06,2.0e-06,2.0e-06,3.0e-6
sky130_fd_pr__nfet_01v8__model.32,nmos,5.0e-07,1.0e-06,2.0e-06,3.0e-6
sky130_fd_pr__nfet_01v8__model.33,nmos,2.5e-07,5.0e-07,2.0e-06,3.0e-6
sky130_fd_pr__nfet_01v8__model.34,nmos,1.8e-07,2.5e-07,2.0e-06,3.0e-6
sky130_fd_pr__nfet_01v8__model.35,nmos,1.5e-07,1.8e-07,2.0e-06,3.0e-6
sky130_fd_pr__nfet_01v8__model.36,nmos,2.0e-05,0.0001,1.68e-06,2.0e-6
sky130_fd_pr__nfet_01v8__model.37,nmos,8.0e-06,2.0e-05,1.68e-06,2.0e-6
sky130_fd_pr__nfet_01v8__model.38,nmos,4.0e-06,8.0e-06,1.68e-06,2.0e-6
sky130_fd_pr__nfet_01v8__model.39,nmos,2.0e-06,4.0e-06,1.68e-06,2.0e-6
sky130_fd_pr__nfet_01v8__model.40,nmos,1.0e-06,2.0e-06,1.68e-06,2.0e-6
sky130_fd_pr__nfet_01v8__model.41,nmos,5.0e-07,1.0e-06,1.68e-06,2.0e-6
sky130_fd_pr__nfet_01v8__model.42,nmos,2.5e-07,5.0e-07,1.68e-06,2.0e-6
sky130_fd_pr__nfet_01v8__model.43,nmos,1.8e-07,2.5e-07,1.68e-06,2.0e-6
sky130_fd_pr__nfet_01v8__model.44,nmos,1.5e-07,1.8e-07,1.68e-06,2.0e-6
sky130_fd_pr__nfet_01v8__model.45,nmos,2.0e-05,0.0001,1.26e-06,1.68e-6
sky130_fd_pr__nfet_01v8__model.46,nmos,8.0e-06,2.0e-05,1.26e-06,1.68e-6
sky130_fd_pr__nfet_01v8__model.47,nmos,4.0e-06,8.0e-06,1.26e-06,1.68e-6
sky130_fd_pr__nfet_01v8__model.48,nmos,2.0e-06,4.0e-06,1.26e-06,1.68e-6
sky130_fd_pr__nfet_01v8__model.49,nmos,1.0e-06,2.0e-06,1.26e-06,1.68e-6
sky130_fd_pr__nfet_01v8__model.50,nmos,5.0e-07,1.0e-06,1.26e-06,1.68e-6
sky130_fd_pr__nfet_01v8__model.51,nmos,2.5e-07,5.0e-07,1.26e-06,1.68e-6
sky130_fd_pr__nfet_01v8__model.52,nmos,1.8e-07,2.5e-07,1.26e-06,1.68e-6
sky130_fd_pr__nfet_01v8__model.53,nmos,1.5e-07,1.8e-07,1.26e-06,1.68e-6
sky130_fd_pr__nfet_01v8__model.54,nmos,2.0e-05,0.0001,1.0e-06,1.26e-6
sky130_fd_pr__nfet_01v8__model.55,nmos,8.0e-06,2.0e-05,1.0e-06,1.26e-6
sky130_fd_pr__nfet_01v8__model.56,nmos,4.0e-06,8.0e-06,1.0e-06,1.26e-6
sky130_fd_pr__nfet_01v8__model.57,nmos,2.0e-06,4.0e-06,1.0e-06,1.26e-6
sky130_fd_pr__nfet_01v8__model.58,nmos,1.0e-06,2.0e-06,1.0e-06,1.26e-6
sky130_fd_pr__nfet_01v8__model.59,nmos,5.0e-07,1.0e-06,1.0e-06,1.26e-6
sky130_fd_pr__nfet_01v8__model.60,nmos,2.5e-07,5.0e-07,1.0e-06,1.26e-6
sky130_fd_pr__nfet_01v8__model.61,nmos,1.8e-07,2.5e-07,1.0e-06,1.26e-6
sky130_fd_pr__nfet_01v8__model.62,nmos,1.5e-07,1.8e-07,1.0e-06,1.26e-6
sky130_fd_pr__nfet_01v8__model.63,nmos,2.0e-05,0.0001,8.4e-07,1.0e-6
sky130_fd_pr__nfet_01v8__model.64,nmos,8.0e-06,2.0e-05,8.4e-07,1.0e-6
sky130_fd_pr__nfet_01v8__model.65,nmos,4.0e-06,8.0e-06,8.4e-07,1.0e-6
sky130_fd_pr__nfet_01v8__model.66,nmos,2.0e-06,4.0e-06,8.4e-07,1.0e-6
sky130_fd_pr__nfet_01v8__model.67,nmos,1.0e-06,2.0e-06,8.4e-07,1.0e-6
sky130_fd_pr__nfet_01v8__model.68,nmos,5.0e-07,1.0e-06,8.4e-07,1.0e-6
sky130_fd_pr__nfet_01v8__model.69,nmos,2.5e-07,5.0e-07,8.4e-07,1.0e-6
sky130_fd_pr__nfet_01v8__model.70,nmos,1.8e-07,2.5e-07,8.4e-07,1.0e-6
sky130_fd_pr__nfet_01v8__model.71,nmos,1.5e-07,1.8e-07,8.4e-07,1.0e-6
